eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,occurrenceStatus,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
NHSTransect_7_BottomRight,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomRight,55.701879,-5.270211,WGS84,NHSTransect_7_BottomRight_Hymenoptera,HumanObservation,present,4,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_8_BottomMiddle,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomMiddle,55.704654,-5.278392,WGS84,NHSTransect_8_BottomMiddle_Lipoptena_cervi,HumanObservation,present,1,Deer fly/ked,Lipoptena cervi,Animalia,Arthropoda,Insecta,Diptera,Hippoboscidae,species
NHSTransect_8_BottomMiddle,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomMiddle,55.704654,-5.278392,WGS84,NHSTransect_8_BottomMiddle_Neophilaenus_lineatus,HumanObservation,present,1,Lined spittlebug,Neophilaenus lineatus,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,species
NHSTransect_8_BottomMiddle,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomMiddle,55.704654,-5.278392,WGS84,NHSTransect_8_BottomMiddle_Hymenoptera,HumanObservation,present,4,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_9_BottomLeft,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomLeft,55.706622,-5.281071,WGS84,NHSTransect_9_BottomLeft_ ,HumanObservation,present,4,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_9_BottomLeft,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomLeft,55.706622,-5.281071,WGS84,NHSTransect_9_BottomLeft_Diptera,HumanObservation,present,1,Flies,,Animalia,Arthropoda,Insecta,Diptera,,order
NHSTransect_9_BottomLeft,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomLeft,55.706622,-5.281071,WGS84,NHSTransect_9_BottomLeft_Orthotylus ericetorum,HumanObservation,present,1,Green mirid bug,Orthotylus ericetorum,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
SS_Moth_trap_1,Slope A,Bog,10,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:30,255,"Bird poo found in the morning, suspected to have eaten the moths in the area",Scotland,GB-SCT,Lochranza,SS_MT_1,,,WGS84,SS_Moth_trap_1_Epirrita_sp.,HumanObservation,present,1,Moth,Epirrita sp.,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,genus
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Prosapia_bicincta,HumanObservation,present,1,Frog hopper,Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Xestia_xanthographa,HumanObservation,present,4,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Nephrotoma_appendiculata,HumanObservation,present,3,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Noctua_comes,HumanObservation,present,3,Lesser yellow underwing,Noctua comes,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Eugnorisma_glareosa,HumanObservation,present,1,Autumnal rustic,Eugnorisma glareosa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Gortyna_flavago,HumanObservation,present,1,Frosted orange,Gortyna flavago,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Amphipoea_sp.,HumanObservation,present,1,Ear moth,Amphipoea sp.,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,genus
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Agriphila_tristella,HumanObservation,present,1,Common grass veneer,Agriphila tristella,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Epinotia_abbreviana,HumanObservation,present,1,Moth,Epinotia abbreviana,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Halesus_radiatus,HumanObservation,present,1,Caddisfly,Halesus radiatus,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,species
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Metallina_sp.,HumanObservation,present,1,Spider,Metallina sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,genus
NS_Moth_trap_1,Slope B,Slope A border near stream,80,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,11/09/2024,19:47,255,,Scotland,GB-SCT,Lochranza,NS_MT_1,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Stilbia_anomala,HumanObservation,present,1,Anomalous moth,Stilbia anomala,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
SS_Moth_trap_2,Slope A,Slope B border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,SS_MT_2,,,WGS84,SS_Moth_trap_2_Nephrotoma_appendiculata,HumanObservation,present,3,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
SS_Moth_trap_2,Slope A,Slope B border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,SS_MT_2,,,WGS84,SS_Moth_trap_2_Xestia_xanthographa,HumanObservation,present,2,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
SS_Moth_trap_2,Slope A,Slope B border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,SS_MT_2,,,WGS84,SS_Moth_trap_2_Seira_domestica_,HumanObservation,present,1,Springtail,Seira domestica ,Animalia,Arthropoda,Collembola,Lepidoptera,Entomobryidae,species
SS_Moth_trap_2,Slope A,Slope B border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,SS_MT_2,,,WGS84,SS_Moth_trap_2_Ophion_sp.,HumanObservation,present,1,Ichneumonid wasp,Ophion sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,genus
NS_Moth_trap_2,Slope B,Centre woodland,18,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,NS_MT_2,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Nephrotoma_appendiculata,HumanObservation,present,4,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
NS_Moth_trap_2,Slope B,Centre woodland,18,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,NS_MT_2,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Prosapia_bicincta,HumanObservation,present,2,Frog hopper,Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,species
NS_Moth_trap_2,Slope B,Centre woodland,18,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,NS_MT_2,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Auchenorrhyncha,HumanObservation,present,2,Leaf hopper,Auchenorrhyncha,Animalia,Arthropoda,Insecta,Hemiptera,,suborder
NS_Moth_trap_2,Slope B,Centre woodland,18,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,NS_MT_2,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Xestia_xanthographa,HumanObservation,present,3,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_2,Slope B,Centre woodland,18,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,12/09/2024,19:00,256,,Scotland,GB-SCT,Lochranza,NS_MT_2,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Trichoceridae_indet,HumanObservation,present,1,Winter crane fly,Trichoceridae indet,Animalia,Arthropoda,Insecta,Diptera,Trichoderidae,family
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Ixodida,HumanObservation,present,9,Tick,,Animalia,Arthropoda,Arachnida,Ixodida,,order
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Tetragnathidae,HumanObservation,present,1,Long-jawed orb weaver,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,family
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Culicidae,HumanObservation,present,1,Mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,family
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Philaenus_spumarius,HumanObservation,present,1,Froghopper,Philaenus spumarius,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,species
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Pholcidae,HumanObservation,present,1,Daddy long-legs spider,,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,family
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Argiope_bruennichi,HumanObservation,present,2,Wasp spider,Argiope bruennichi,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,species
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Araneae,HumanObservation,present,1,Spider,,Animalia,Arthropoda,Arachnida,Araneae,,order
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Pachytomella_parallela,HumanObservation,present,5,Capsid bug,Pachytomella parallela,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
SHSTransect_1_TopRight,Slope A,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Metellina_segmentata,HumanObservation,present,1,Spider,Metellina segmentata,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,species
SHSTransect_2_TopMiddle,Slope A,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Philaenus_spumarius,HumanObservation,present,4,Froghopper,Philaenus spumarius,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,species
SHSTransect_2_TopMiddle,Slope A,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Notonecta_obliqua,HumanObservation,present,1,Water-boatman,Notonecta obliqua,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,species
SHSTransect_2_TopMiddle,Slope A,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Limonia_nubeculosa,HumanObservation,present,1,Short-palped cranefly,Limonia nubeculosa,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,species
SHSTransect_2_TopMiddle,Slope A,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Pachytomella_parallela,HumanObservation,present,4,Capsid bug,Pachytomella parallela,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
SHSTransect_2_TopMiddle,Slope A,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,09/12/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Metellina_segmentata,HumanObservation,present,7,Spider,Metellina segmentata,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,species
